,buy gold,overlap
2019-01-01,32.0,
2019-01-02,44.0,
2019-01-03,40.0,
2019-01-04,45.0,
2019-01-05,33.0,
2019-01-06,36.0,
2019-01-07,35.0,
2019-01-08,24.0,
2019-01-09,31.0,
2019-01-10,37.0,
2019-01-11,30.0,
2019-01-12,40.0,
2019-01-13,33.0,
2019-01-14,32.0,
2019-01-15,34.0,
2019-01-16,32.0,
2019-01-17,36.0,
2019-01-18,39.0,
2019-01-19,34.0,
2019-01-20,40.0,
2019-01-21,28.0,
2019-01-22,27.0,
2019-01-23,30.0,
2019-01-24,30.0,
2019-01-25,33.0,
2019-01-26,37.0,
2019-01-27,33.0,
2019-01-28,31.0,
2019-01-29,28.0,
2019-01-30,39.0,
2019-01-31,37.0,
2019-02-01,32.0,
2019-02-02,35.0,
2019-02-03,32.0,
2019-02-04,32.0,
2019-02-05,25.0,
2019-02-06,33.0,
2019-02-07,30.0,
2019-02-08,33.0,
2019-02-09,24.0,
2019-02-10,41.0,
2019-02-11,23.0,
2019-02-12,31.0,
2019-02-13,20.0,
2019-02-14,30.0,
2019-02-15,28.0,
2019-02-16,38.0,1.0
2019-02-17,38.0,1.0
2019-02-18,36.0,1.0
2019-02-19,35.0,1.0
2019-02-20,29.0,1.0
2019-02-21,34.0,1.0
2019-02-22,25.0,1.0
2019-02-23,34.0,1.0
2019-02-24,40.0,1.0
2019-02-25,33.0,1.0
2019-02-26,28.0,1.0
2019-02-27,28.0,1.0
2019-02-28,33.0,1.0
2019-03-01,29.0,1.0
2019-03-02,38.0,1.0
2019-03-03,32.0,1.0
2019-03-04,36.0,1.0
2019-03-05,33.0,1.0
2019-03-06,33.0,1.0
2019-03-07,31.0,1.0
2019-03-08,34.0,1.0
2019-03-09,40.0,1.0
2019-03-10,44.0,1.0
2019-03-11,34.0,1.0
2019-03-12,31.0,1.0
2019-03-13,36.0,1.0
2019-03-14,31.0,1.0
2019-03-15,30.0,1.0
2019-03-16,44.0,1.0
2019-03-17,30.0,1.0
2019-03-18,27.0,1.0
2019-03-19,32.0,1.0
2019-03-20,26.0,1.0
2019-03-21,31.0,1.0
2019-03-22,30.0,1.0
2019-03-23,29.0,1.0
2019-03-24,43.0,1.0
2019-03-25,33.0,1.0
2019-03-26,36.0,1.0
2019-03-27,24.0,1.0
2019-03-28,28.0,1.0
2019-03-29,33.0,1.0
2019-03-30,38.0,1.0
2019-03-31,35.0,1.0
2019-04-01,31.0,1.0
2019-04-02,28.0,1.0
2019-04-03,33.0,1.0
2019-04-04,35.0,1.0
2019-04-05,30.0,1.0
2019-04-06,26.0,1.0
2019-04-07,33.0,1.0
2019-04-08,29.0,1.0
2019-04-09,32.0,1.0
2019-04-10,34.0,1.0
2019-04-11,36.0,1.0
2019-04-12,32.0,1.0
2019-04-13,34.0,1.0
2019-04-14,28.0,1.0
2019-04-15,24.0,1.0
2019-04-16,31.0,1.0
2019-04-17,27.0,1.0
2019-04-18,30.0,1.0
2019-04-19,24.0,1.0
2019-04-20,32.0,1.0
2019-04-21,34.0,1.0
2019-04-22,34.0,1.0
2019-04-23,31.0,1.0
2019-04-24,29.0,1.0
2019-04-25,29.0,1.0
2019-04-26,32.0,1.0
2019-04-27,30.0,1.0
2019-04-28,32.0,1.0
2019-04-29,25.0,1.0
2019-04-30,29.0,1.0
2019-05-01,32.0,1.0
2019-05-02,29.0,1.0
2019-05-03,23.0,1.0
2019-05-04,25.0,1.0
2019-05-05,32.0,1.0
2019-05-06,25.0,1.0
2019-05-07,34.0,1.0
2019-05-08,26.0,1.0
2019-05-09,24.0,1.0
2019-05-10,27.0,1.0
2019-05-11,38.0,1.0
2019-05-12,34.0,1.0
2019-05-13,38.0,1.0
2019-05-14,37.0,1.0
2019-05-15,33.0,1.0
2019-05-16,27.0,1.0
2019-05-17,36.0,1.0
2019-05-18,30.0,1.0
2019-05-19,25.0,1.0
2019-05-20,30.0,1.0
2019-05-21,34.0,1.0
2019-05-22,27.0,1.0
2019-05-23,30.0,1.0
2019-05-24,31.0,1.0
2019-05-25,31.0,1.0
2019-05-26,30.0,1.0
2019-05-27,35.0,1.0
2019-05-28,30.0,
2019-05-29,27.0,
2019-05-30,34.0,
2019-05-31,29.0,
2019-06-01,30.0,
2019-06-02,36.0,
2019-06-03,31.0,
2019-06-04,39.0,
2019-06-05,31.0,
2019-06-06,32.0,
2019-06-07,25.0,
2019-06-08,26.0,
2019-06-09,43.0,
2019-06-10,34.0,
2019-06-11,28.0,
2019-06-12,34.0,
2019-06-13,33.0,
2019-06-14,38.0,
2019-06-15,37.0,
2019-06-16,34.0,
2019-06-17,31.0,
2019-06-18,31.0,
2019-06-19,39.0,
2019-06-20,33.0,
2019-06-21,50.0,
2019-06-22,38.0,
2019-06-23,37.0,
2019-06-24,34.0,
2019-06-25,47.0,
2019-06-26,36.0,
2019-06-27,34.0,
2019-06-28,45.0,
2019-06-29,29.0,
2019-06-30,47.0,
2019-07-01,37.0,
2019-07-02,43.0,
2019-07-03,32.0,
2019-07-04,36.0,
2019-07-05,33.0,
2019-07-06,43.0,
2019-07-07,44.0,
2019-07-08,30.0,
2019-07-09,33.0,
2019-07-10,33.0,
2019-07-11,33.0,
2019-07-12,33.0,
2019-07-13,38.0,
2019-07-14,58.0,
2019-07-15,45.0,
2019-07-16,36.0,
2019-07-17,26.0,
2019-07-18,31.0,
2019-07-19,28.0,
2019-07-20,44.0,
2019-07-21,40.0,
2019-07-22,30.0,
2019-07-23,33.0,
2019-07-24,35.0,
2019-07-25,29.0,
2019-07-26,28.0,
2019-07-27,43.0,
2019-07-28,40.0,
2019-07-29,40.0,
2019-07-30,29.0,
2019-07-31,44.0,
2019-08-01,32.0,
2019-08-02,37.0,
2019-08-03,31.0,
2019-08-04,40.0,1.0
2019-08-05,42.0,1.0
2019-08-06,41.0,1.0
2019-08-07,36.0,1.0
2019-08-08,40.0,1.0
2019-08-09,43.0,1.0
2019-08-10,41.0,1.0
2019-08-11,49.0,1.0
2019-08-12,48.0,1.0
2019-08-13,46.0,1.0
2019-08-14,55.0,1.0
2019-08-15,45.0,1.0
2019-08-16,39.0,1.0
2019-08-17,34.0,1.0
2019-08-18,38.0,1.0
