date,amazon,overlap
2019-01-01,42.0,
2019-01-02,49.0,
2019-01-03,47.0,
2019-01-04,45.0,
2019-01-05,47.0,
2019-01-06,45.0,
2019-01-07,43.0,
2019-01-08,42.0,
2019-01-09,44.0,
2019-01-10,43.0,
2019-01-11,43.0,
2019-01-12,45.0,
2019-01-13,45.0,
2019-01-14,42.0,
2019-01-15,42.0,
2019-01-16,42.0,
2019-01-17,41.0,
2019-01-18,40.0,
2019-01-19,43.0,
2019-01-20,41.0,
2019-01-21,41.0,
2019-01-22,40.0,
2019-01-23,40.0,
2019-01-24,39.0,
2019-01-25,40.0,
2019-01-26,43.0,
2019-01-27,43.0,
2019-01-28,40.0,
2019-01-29,40.0,
2019-01-30,41.0,
2019-01-31,41.0,
2019-02-01,39.0,
2019-02-02,41.0,
2019-02-03,42.0,
2019-02-04,39.0,
2019-02-05,40.0,
2019-02-06,39.0,
2019-02-07,39.0,
2019-02-08,40.0,
2019-02-09,44.0,
2019-02-10,45.0,
2019-02-11,41.0,
2019-02-12,40.0,
2019-02-13,39.0,
2019-02-14,41.0,
2019-02-15,41.0,
2019-02-16,43.0,1.0
2019-02-17,45.0,1.0
2019-02-18,43.0,1.0
2019-02-19,39.0,1.0
2019-02-20,40.0,1.0
2019-02-21,39.0,1.0
2019-02-22,39.0,1.0
2019-02-23,41.0,1.0
2019-02-24,45.0,1.0
2019-02-25,41.0,1.0
2019-02-26,40.0,1.0
2019-02-27,39.0,1.0
2019-02-28,41.0,1.0
2019-03-01,40.0,1.0
2019-03-02,44.0,1.0
2019-03-03,47.0,1.0
2019-03-04,42.0,1.0
2019-03-05,41.0,1.0
2019-03-06,41.0,1.0
2019-03-07,40.0,1.0
2019-03-08,39.0,1.0
2019-03-09,43.0,1.0
2019-03-10,44.0,1.0
2019-03-11,43.0,1.0
2019-03-12,40.0,1.0
2019-03-13,40.0,1.0
2019-03-14,39.0,1.0
2019-03-15,38.0,1.0
2019-03-16,41.0,1.0
2019-03-17,43.0,1.0
2019-03-18,40.0,1.0
2019-03-19,40.0,1.0
2019-03-20,40.0,1.0
2019-03-21,39.0,1.0
2019-03-22,38.0,1.0
2019-03-23,40.0,1.0
2019-03-24,41.0,1.0
