date,buy gold,overlap
2019-01-01,45.0,
2019-01-02,54.0,
2019-01-03,44.0,
2019-01-04,42.0,
2019-01-05,47.0,
2019-01-06,33.0,
2019-01-07,44.0,
2019-01-08,31.0,
2019-01-09,36.0,
2019-01-10,34.0,
2019-01-11,35.0,
2019-01-12,36.0,
2019-01-13,43.0,
2019-01-14,39.0,
2019-01-15,46.0,
2019-01-16,28.0,
2019-01-17,37.0,
2019-01-18,36.0,
2019-01-19,39.0,
2019-01-20,45.0,
2019-01-21,37.0,
2019-01-22,31.0,
2019-01-23,37.0,
2019-01-24,30.0,
2019-01-25,40.0,
2019-01-26,37.0,
2019-01-27,34.0,
2019-01-28,37.0,
2019-01-29,34.0,
2019-01-30,44.0,
2019-01-31,35.0,
2019-02-01,34.0,
2019-02-02,48.0,
2019-02-03,46.0,
2019-02-04,34.0,
2019-02-05,27.0,
2019-02-06,32.0,
2019-02-07,32.0,
2019-02-08,37.0,
2019-02-09,44.0,
2019-02-10,49.0,
2019-02-11,38.0,
2019-02-12,45.0,
2019-02-13,38.0,
2019-02-14,34.0,
2019-02-15,29.0,
2019-02-16,40.0,1.0
2019-02-17,53.0,1.0
2019-02-18,36.0,1.0
2019-02-19,34.0,1.0
2019-02-20,32.0,1.0
2019-02-21,36.0,1.0
2019-02-22,32.0,1.0
2019-02-23,38.0,1.0
2019-02-24,46.0,1.0
2019-02-25,41.0,1.0
2019-02-26,34.0,1.0
2019-02-27,36.0,1.0
2019-02-28,36.0,1.0
2019-03-01,34.0,1.0
2019-03-02,39.0,1.0
2019-03-03,31.0,1.0
2019-03-04,38.0,1.0
2019-03-05,39.0,1.0
2019-03-06,38.0,1.0
2019-03-07,35.0,1.0
2019-03-08,41.0,1.0
2019-03-09,42.0,1.0
2019-03-10,41.0,1.0
2019-03-11,48.0,1.0
2019-03-12,37.0,1.0
2019-03-13,34.0,1.0
2019-03-14,35.0,1.0
2019-03-15,41.0,1.0
2019-03-16,47.0,1.0
2019-03-17,37.0,1.0
2019-03-18,38.0,1.0
2019-03-19,35.0,1.0
2019-03-20,30.0,1.0
2019-03-21,37.0,1.0
2019-03-22,36.0,1.0
2019-03-23,33.0,1.0
2019-03-24,48.0,1.0
2019-03-25,39.0,1.0
2019-03-26,40.0,1.0
2019-03-27,30.0,1.0
2019-03-28,35.0,1.0
2019-03-29,39.0,1.0
2019-03-30,42.0,1.0
2019-03-31,40.0,1.0
2019-04-01,36.0,1.0
2019-04-02,34.0,1.0
2019-04-03,39.0,1.0
2019-04-04,44.0,1.0
2019-04-05,41.0,1.0
2019-04-06,47.0,1.0
2019-04-07,44.0,1.0
2019-04-08,35.0,1.0
2019-04-09,36.0,1.0
2019-04-10,39.0,1.0
2019-04-11,38.0,1.0
2019-04-12,40.0,1.0
2019-04-13,37.0,1.0
2019-04-14,36.0,1.0
2019-04-15,32.0,1.0
2019-04-16,39.0,1.0
2019-04-17,28.0,1.0
2019-04-18,33.0,1.0
2019-04-19,29.0,1.0
2019-04-20,35.0,1.0
2019-04-21,37.0,1.0
2019-04-22,35.0,1.0
2019-04-23,47.0,1.0
2019-04-24,28.0,1.0
2019-04-25,45.0,1.0
2019-04-26,32.0,1.0
2019-04-27,42.0,1.0
2019-04-28,41.0,1.0
2019-04-29,27.0,1.0
2019-04-30,34.0,1.0
2019-05-01,40.0,1.0
2019-05-02,30.0,1.0
2019-05-03,29.0,1.0
2019-05-04,34.0,1.0
2019-05-05,38.0,1.0
2019-05-06,32.0,1.0
2019-05-07,36.0,1.0
2019-05-08,29.0,1.0
2019-05-09,25.0,1.0
2019-05-10,33.0,1.0
2019-05-11,39.0,1.0
2019-05-12,39.0,1.0
2019-05-13,35.0,1.0
2019-05-14,48.0,1.0
2019-05-15,36.0,1.0
2019-05-16,34.0,1.0
2019-05-17,40.0,1.0
2019-05-18,44.0,1.0
2019-05-19,27.0,1.0
2019-05-20,37.0,1.0
2019-05-21,42.0,1.0
2019-05-22,33.0,1.0
2019-05-23,43.0,1.0
2019-05-24,39.0,1.0
2019-05-25,38.0,1.0
2019-05-26,32.0,1.0
2019-05-27,42.0,1.0
2019-05-28,43.0,
2019-05-29,36.0,
2019-05-30,38.0,
2019-05-31,49.0,
2019-06-01,39.0,
2019-06-02,41.0,
2019-06-03,34.0,
2019-06-04,36.0,
2019-06-05,41.0,
2019-06-06,34.0,
2019-06-07,30.0,
2019-06-08,38.0,
2019-06-09,41.0,
2019-06-10,39.0,
2019-06-11,34.0,
2019-06-12,29.0,
2019-06-13,46.0,
2019-06-14,39.0,
2019-06-15,47.0,
2019-06-16,32.0,
2019-06-17,46.0,
2019-06-18,33.0,
2019-06-19,43.0,
2019-06-20,41.0,
2019-06-21,43.0,
2019-06-22,58.0,
2019-06-23,41.0,
2019-06-24,29.0,
2019-06-25,52.0,
2019-06-26,41.0,
2019-06-27,44.0,
2019-06-28,43.0,
2019-06-29,44.0,
2019-06-30,48.0,
2019-07-01,46.0,
2019-07-02,45.0,
2019-07-03,33.0,
2019-07-04,41.0,
2019-07-05,45.0,
2019-07-06,50.0,
2019-07-07,41.0,
2019-07-08,34.0,
2019-07-09,45.0,
2019-07-10,30.0,
2019-07-11,43.0,
2019-07-12,49.0,
2019-07-13,34.0,
2019-07-14,45.0,
2019-07-15,34.0,
2019-07-16,38.0,
2019-07-17,35.0,
2019-07-18,34.0,
2019-07-19,37.0,
2019-07-20,45.0,
2019-07-21,37.0,
2019-07-22,39.0,
2019-07-23,34.0,
2019-07-24,37.0,
2019-07-25,32.0,
2019-07-26,32.0,
2019-07-27,48.0,
2019-07-28,50.0,
2019-07-29,41.0,
2019-07-30,32.0,
2019-07-31,48.0,
2019-08-01,39.0,
2019-08-02,32.0,
2019-08-03,34.0,
2019-08-04,54.0,1.0
2019-08-05,51.0,1.0
2019-08-06,43.0,1.0
2019-08-07,42.0,1.0
2019-08-08,43.0,1.0
2019-08-09,46.0,1.0
2019-08-10,53.0,1.0
2019-08-11,53.0,1.0
2019-08-12,41.0,1.0
2019-08-13,49.0,1.0
2019-08-14,58.0,1.0
2019-08-15,54.0,1.0
2019-08-16,43.0,1.0
2019-08-17,33.0,1.0
2019-08-18,40.0,1.0
2019-08-19,45.0,1.0
2019-08-20,48.0,1.0
2019-08-21,45.0,1.0
2019-08-22,27.0,1.0
2019-08-23,40.0,1.0
2019-08-24,54.0,1.0
2019-08-25,41.0,1.0
2019-08-26,54.0,1.0
2019-08-27,42.0,1.0
2019-08-28,50.0,1.0
2019-08-29,33.0,1.0
2019-08-30,41.0,1.0
2019-08-31,55.0,1.0
2019-09-01,44.0,1.0
2019-09-02,44.0,1.0
2019-09-03,45.0,1.0
2019-09-04,54.0,1.0
2019-09-05,46.0,1.0
2019-09-06,39.0,1.0
2019-09-07,57.0,1.0
2019-09-08,53.0,1.0
2019-09-09,47.0,1.0
2019-09-10,47.0,1.0
2019-09-11,44.0,1.0
2019-09-12,40.0,1.0
2019-09-13,36.0,1.0
2019-09-14,54.0,1.0
2019-09-15,50.0,1.0
2019-09-16,46.0,1.0
2019-09-17,42.0,1.0
2019-09-18,38.0,1.0
2019-09-19,35.0,1.0
2019-09-20,36.0,1.0
2019-09-21,54.0,1.0
2019-09-22,50.0,1.0
2019-09-23,40.0,1.0
2019-09-24,34.0,1.0
2019-09-25,37.0,1.0
2019-09-26,45.0,1.0
2019-09-27,40.0,1.0
2019-09-28,53.0,1.0
2019-09-29,51.0,1.0
2019-09-30,50.0,1.0
2019-10-01,45.0,1.0
2019-10-02,47.0,1.0
2019-10-03,35.0,1.0
2019-10-04,42.0,1.0
2019-10-05,53.0,1.0
2019-10-06,50.0,1.0
2019-10-07,39.0,1.0
2019-10-08,35.0,1.0
2019-10-09,41.0,1.0
2019-10-10,39.0,1.0
2019-10-11,40.0,1.0
2019-10-12,42.0,1.0
2019-10-13,39.0,1.0
2019-10-14,40.0,1.0
2019-10-15,38.0,1.0
2019-10-16,41.0,1.0
2019-10-17,51.0,1.0
2019-10-18,39.0,1.0
2019-10-19,46.0,1.0
2019-10-20,48.0,1.0
2019-10-21,36.0,1.0
2019-10-22,34.0,1.0
2019-10-23,40.0,1.0
2019-10-24,34.0,1.0
2019-10-25,42.0,1.0
2019-10-26,43.0,1.0
2019-10-27,40.0,1.0
2019-10-28,40.0,1.0
2019-10-29,38.0,1.0
2019-10-30,42.0,1.0
2019-10-31,46.0,1.0
2019-11-01,35.0,1.0
2019-11-02,30.0,1.0
2019-11-03,46.0,1.0
2019-11-04,39.0,1.0
2019-11-05,39.0,1.0
2019-11-06,40.0,1.0
2019-11-07,32.0,1.0
2019-11-08,40.0,1.0
2019-11-09,53.0,1.0
2019-11-10,32.0,1.0
2019-11-11,29.0,1.0
2019-11-12,38.0,1.0
2019-11-13,41.0,
2019-11-14,57.0,
2019-11-15,34.0,
2019-11-16,51.0,
2019-11-17,49.0,
2019-11-18,40.0,
2019-11-19,39.0,
2019-11-20,48.0,
2019-11-21,48.0,
2019-11-22,53.0,
2019-11-23,59.0,
2019-11-24,59.0,
2019-11-25,42.0,
2019-11-26,41.0,
2019-11-27,39.0,
2019-11-28,52.0,
2019-11-29,87.0,
2019-11-30,69.0,
2019-12-01,50.0,
2019-12-02,60.0,
2019-12-03,56.0,
2019-12-04,49.0,
2019-12-05,54.0,
2019-12-06,35.0,
2019-12-07,56.0,
2019-12-08,34.0,
2019-12-09,38.0,
2019-12-10,41.0,
2019-12-11,43.0,
2019-12-12,54.0,
2019-12-13,55.0,
2019-12-14,64.0,
2019-12-15,55.0,
2019-12-16,48.0,
2019-12-17,37.0,
2019-12-18,38.0,
2019-12-19,51.0,
2019-12-20,56.0,
2019-12-21,57.0,
2019-12-22,63.0,
2019-12-23,44.0,
2019-12-24,66.0,
2019-12-25,52.0,
2019-12-26,62.0,
2019-12-27,51.0,
2019-12-28,56.0,
2019-12-29,47.0,
2019-12-30,49.0,
2019-12-31,52.0,
2020-01-01,44.0,
2020-01-02,53.0,
2020-01-03,52.0,
2020-01-04,60.0,
2020-01-05,55.0,
2020-01-06,69.0,
2020-01-07,60.0,
2020-01-08,49.0,
2020-01-09,47.0,
2020-01-10,37.0,
2020-01-11,46.0,
2020-01-12,58.0,
2020-01-13,40.0,
2020-01-14,51.0,
2020-01-15,35.0,
2020-01-16,52.0,
2020-01-17,49.0,
2020-01-18,43.0,
2020-01-19,49.0,
2020-01-20,43.0,1.0
2020-01-21,49.0,1.0
2020-01-22,49.0,1.0
2020-01-23,46.0,1.0
2020-01-24,44.0,1.0
2020-01-25,57.0,1.0
2020-01-26,55.0,1.0
2020-01-27,36.0,1.0
2020-01-28,37.0,1.0
2020-01-29,37.0,1.0
2020-01-30,34.0,1.0
2020-01-31,47.0,1.0
2020-02-01,42.0,1.0
2020-02-02,48.0,1.0
2020-02-03,38.0,1.0
2020-02-04,45.0,1.0
2020-02-05,41.0,1.0
2020-02-06,45.0,1.0
2020-02-07,45.0,1.0
2020-02-08,49.0,1.0
2020-02-09,50.0,1.0
2020-02-10,46.0,1.0
2020-02-11,42.0,1.0
2020-02-12,41.0,1.0
2020-02-13,49.0,1.0
2020-02-14,47.0,1.0
2020-02-15,56.0,1.0
2020-02-16,52.0,1.0
2020-02-17,52.0,1.0
2020-02-18,34.0,1.0
2020-02-19,50.0,1.0
2020-02-20,45.0,1.0
2020-02-21,47.0,1.0
2020-02-22,64.0,1.0
2020-02-23,41.0,1.0
2020-02-24,45.0,1.0
2020-02-25,56.0,1.0
2020-02-26,46.0,1.0
2020-02-27,56.0,1.0
2020-02-28,61.0,1.0
2020-02-29,48.0,1.0
2020-03-01,56.0,1.0
2020-03-02,44.0,1.0
2020-03-03,46.0,1.0
2020-03-04,37.0,1.0
2020-03-05,48.0,1.0
2020-03-06,48.0,1.0
2020-03-07,46.0,1.0
2020-03-08,45.0,1.0
2020-03-09,65.0,1.0
2020-03-10,54.0,1.0
2020-03-11,59.0,1.0
2020-03-12,66.0,1.0
2020-03-13,60.0,1.0
2020-03-14,58.0,1.0
2020-03-15,51.0,1.0
2020-03-16,71.0,1.0
2020-03-17,73.0,1.0
2020-03-18,82.0,1.0
2020-03-19,81.0,1.0
2020-03-20,68.0,1.0
2020-03-21,80.0,1.0
2020-03-22,78.0,1.0
2020-03-23,69.0,1.0
2020-03-24,80.0,1.0
2020-03-25,98.0,1.0
2020-03-26,64.0,1.0
2020-03-27,66.0,1.0
2020-03-28,74.0,1.0
2020-03-29,65.0,1.0
2020-03-30,58.0,1.0
2020-03-31,56.0,1.0
2020-04-01,52.0,1.0
2020-04-02,58.0,1.0
2020-04-03,65.0,1.0
2020-04-04,61.0,1.0
2020-04-05,69.0,1.0
2020-04-06,70.0,1.0
2020-04-07,57.0,1.0
2020-04-08,57.0,1.0
2020-04-09,59.0,1.0
2020-04-10,63.0,1.0
2020-04-11,63.0,1.0
2020-04-12,77.0,1.0
2020-04-13,63.0,1.0
2020-04-14,68.0,1.0
2020-04-15,64.0,1.0
2020-04-16,62.0,1.0
2020-04-17,69.0,1.0
2020-04-18,82.0,1.0
2020-04-19,68.0,1.0
2020-04-20,60.0,1.0
2020-04-21,69.0,1.0
2020-04-22,86.0,1.0
2020-04-23,86.0,1.0
2020-04-24,77.0,1.0
2020-04-25,55.0,1.0
2020-04-26,61.0,1.0
2020-04-27,71.0,1.0
2020-04-28,58.0,1.0
2020-04-29,61.0,1.0
2020-04-30,55.0,
2020-05-01,47.0,
2020-05-02,71.0,
2020-05-03,74.0,
2020-05-04,60.0,
2020-05-05,50.0,
2020-05-06,68.0,
2020-05-07,50.0,
2020-05-08,53.0,
2020-05-09,67.0,
2020-05-10,72.0,
2020-05-11,59.0,
2020-05-12,58.0,
2020-05-13,62.0,
2020-05-14,50.0,
2020-05-15,56.0,
2020-05-16,72.0,
2020-05-17,77.0,
2020-05-18,51.0,
2020-05-19,46.0,
2020-05-20,58.0,
2020-05-21,57.0,
2020-05-22,62.0,
2020-05-23,57.0,
2020-05-24,62.0,
2020-05-25,63.0,
2020-05-26,42.0,
2020-05-27,58.0,
2020-05-28,51.0,
2020-05-29,58.0,
2020-05-30,51.0,
2020-05-31,48.0,
2020-06-01,44.0,
2020-06-02,43.0,
2020-06-03,50.0,
2020-06-04,44.0,
2020-06-05,55.0,
2020-06-06,55.0,
2020-06-07,56.0,
2020-06-08,46.0,
2020-06-09,56.0,
2020-06-10,63.0,
2020-06-11,57.0,
2020-06-12,50.0,
2020-06-13,53.0,
2020-06-14,53.0,
2020-06-15,45.0,
2020-06-16,53.0,
2020-06-17,59.0,
2020-06-18,51.0,
2020-06-19,48.0,
2020-06-20,48.0,
2020-06-21,52.0,
2020-06-22,50.0,
2020-06-23,64.0,
2020-06-24,56.0,
2020-06-25,59.0,
2020-06-26,48.0,
2020-06-27,59.0,
2020-06-28,60.0,
2020-06-29,48.0,
2020-06-30,59.0,
2020-07-01,64.0,
2020-07-02,47.0,
2020-07-03,59.0,
2020-07-04,54.0,
2020-07-05,60.0,
2020-07-06,68.0,
2020-07-07,56.0,
2020-07-08,76.0,
2020-07-09,68.0,
2020-07-10,66.0,
2020-07-11,57.0,
2020-07-12,70.0,
2020-07-13,70.0,
2020-07-14,56.0,
2020-07-15,54.0,
2020-07-16,57.0,
2020-07-17,62.0,
2020-07-18,54.0,
2020-07-19,49.0,
2020-07-20,69.0,
2020-07-21,83.0,
2020-07-22,68.0,
2020-07-23,84.0,
2020-07-24,77.0,
2020-07-25,84.0,
2020-07-26,72.0,
2020-07-27,100.0,
2020-07-28,99.0,
2020-07-29,88.0,
2020-07-30,75.0,
2020-07-31,74.0,
2020-08-01,70.0,
2020-08-02,95.0,
2020-08-03,74.0,
