,iphone,overlap
2019-01-01,39.0,
2019-01-02,38.0,
2019-01-03,38.0,
2019-01-04,36.0,
2019-01-05,40.0,
2019-01-06,39.0,
2019-01-07,33.0,
2019-01-08,33.0,
2019-01-09,32.0,
2019-01-10,33.0,
2019-01-11,32.0,
2019-01-12,36.0,
2019-01-13,38.0,
2019-01-14,32.0,
2019-01-15,31.0,
2019-01-16,32.0,
2019-01-17,31.0,
2019-01-18,31.0,
2019-01-19,36.0,
2019-01-20,36.0,
2019-01-21,33.0,
2019-01-22,31.0,
2019-01-23,30.0,
2019-01-24,31.0,
2019-01-25,29.0,
2019-01-26,35.0,
2019-01-27,35.0,
2019-01-28,31.0,
2019-01-29,32.0,
2019-01-30,31.0,
2019-01-31,31.0,
2019-02-01,29.0,
2019-02-02,34.0,
2019-02-03,33.0,
2019-02-04,27.0,
2019-02-05,27.0,
2019-02-06,28.0,
2019-02-07,29.0,
2019-02-08,30.0,
2019-02-09,36.0,
2019-02-10,34.0,
2019-02-11,29.0,
2019-02-12,28.0,
2019-02-13,29.0,
2019-02-14,28.0,
2019-02-15,29.0,
2019-02-16,34.0,1.0
2019-02-17,35.0,1.0
2019-02-18,33.0,1.0
2019-02-19,30.0,1.0
2019-02-20,30.0,1.0
2019-02-21,31.0,1.0
2019-02-22,31.0,1.0
2019-02-23,35.0,1.0
2019-02-24,35.0,1.0
2019-02-25,29.0,1.0
2019-02-26,29.0,1.0
2019-02-27,31.0,1.0
2019-02-28,30.0,1.0
2019-03-01,29.0,1.0
2019-03-02,35.0,1.0
2019-03-03,37.0,1.0
2019-03-04,30.0,1.0
2019-03-05,29.0,1.0
2019-03-06,29.0,1.0
2019-03-07,29.0,1.0
2019-03-08,29.0,1.0
2019-03-09,34.0,1.0
2019-03-10,35.0,1.0
2019-03-11,29.0,1.0
2019-03-12,29.0,1.0
2019-03-13,30.0,1.0
2019-03-14,29.0,1.0
2019-03-15,29.0,1.0
2019-03-16,33.0,1.0
2019-03-17,33.0,1.0
2019-03-18,29.0,1.0
2019-03-19,29.0,1.0
2019-03-20,29.0,1.0
2019-03-21,28.0,1.0
2019-03-22,29.0,1.0
2019-03-23,32.0,1.0
2019-03-24,33.0,1.0
2019-03-25,30.0,1.0
2019-03-26,30.0,1.0
2019-03-27,29.0,1.0
2019-03-28,29.0,1.0
2019-03-29,29.0,1.0
2019-03-30,33.0,1.0
2019-03-31,32.0,1.0
2019-04-01,29.0,1.0
2019-04-02,29.0,1.0
2019-04-03,28.0,1.0
2019-04-04,29.0,1.0
2019-04-05,29.0,1.0
2019-04-06,32.0,1.0
2019-04-07,33.0,1.0
2019-04-08,29.0,1.0
2019-04-09,28.0,1.0
2019-04-10,27.0,1.0
2019-04-11,28.0,1.0
2019-04-12,27.0,1.0
2019-04-13,32.0,1.0
2019-04-14,33.0,1.0
2019-04-15,28.0,1.0
2019-04-16,27.0,1.0
2019-04-17,28.0,1.0
2019-04-18,28.0,1.0
2019-04-19,30.0,1.0
2019-04-20,32.0,1.0
2019-04-21,32.0,1.0
2019-04-22,29.0,1.0
2019-04-23,29.0,1.0
2019-04-24,28.0,1.0
2019-04-25,28.0,1.0
2019-04-26,27.0,1.0
2019-04-27,31.0,1.0
2019-04-28,33.0,1.0
2019-04-29,27.0,1.0
2019-04-30,29.0,1.0
2019-05-01,28.0,1.0
2019-05-02,28.0,1.0
2019-05-03,29.0,1.0
2019-05-04,33.0,1.0
2019-05-05,33.0,1.0
2019-05-06,29.0,1.0
2019-05-07,29.0,1.0
2019-05-08,28.0,1.0
2019-05-09,28.0,1.0
2019-05-10,28.0,1.0
2019-05-11,33.0,1.0
2019-05-12,34.0,1.0
2019-05-13,29.0,1.0
2019-05-14,29.0,1.0
2019-05-15,29.0,1.0
2019-05-16,29.0,1.0
2019-05-17,28.0,1.0
2019-05-18,33.0,1.0
2019-05-19,33.0,1.0
2019-05-20,32.0,1.0
2019-05-21,29.0,1.0
2019-05-22,29.0,1.0
2019-05-23,28.0,1.0
2019-05-24,29.0,1.0
2019-05-25,33.0,1.0
2019-05-26,34.0,1.0
2019-05-27,33.0,1.0
2019-05-28,31.0,
2019-05-29,31.0,
2019-05-30,31.0,
2019-05-31,31.0,
2019-06-01,35.0,
2019-06-02,38.0,
2019-06-03,33.0,
2019-06-04,33.0,
2019-06-05,32.0,
2019-06-06,31.0,
2019-06-07,31.0,
2019-06-08,35.0,
2019-06-09,35.0,
2019-06-10,31.0,
2019-06-11,31.0,
2019-06-12,30.0,
2019-06-13,31.0,
2019-06-14,30.0,
2019-06-15,34.0,
2019-06-16,35.0,
2019-06-17,33.0,
2019-06-18,31.0,
2019-06-19,32.0,
2019-06-20,31.0,
2019-06-21,31.0,
2019-06-22,34.0,
2019-06-23,35.0,
2019-06-24,32.0,
2019-06-25,31.0,
2019-06-26,31.0,
2019-06-27,32.0,
2019-06-28,32.0,
2019-06-29,34.0,
2019-06-30,34.0,
2019-07-01,31.0,
2019-07-02,31.0,
2019-07-03,32.0,
2019-07-04,33.0,
2019-07-05,32.0,
2019-07-06,33.0,
2019-07-07,33.0,
2019-07-08,31.0,
2019-07-09,32.0,
2019-07-10,31.0,
2019-07-11,31.0,
2019-07-12,31.0,
2019-07-13,34.0,
2019-07-14,34.0,
2019-07-15,34.0,
2019-07-16,33.0,
2019-07-17,32.0,
2019-07-18,32.0,
2019-07-19,32.0,
2019-07-20,33.0,
2019-07-21,34.0,
2019-07-22,32.0,
2019-07-23,31.0,
2019-07-24,31.0,
2019-07-25,31.0,
2019-07-26,32.0,
2019-07-27,34.0,
2019-07-28,35.0,
2019-07-29,32.0,
2019-07-30,32.0,
2019-07-31,31.0,
2019-08-01,32.0,
2019-08-02,32.0,
2019-08-03,35.0,
2019-08-04,34.0,1.0
2019-08-05,32.0,1.0
2019-08-06,32.0,1.0
2019-08-07,32.0,1.0
2019-08-08,34.0,1.0
2019-08-09,32.0,1.0
2019-08-10,36.0,1.0
2019-08-11,37.0,1.0
2019-08-12,33.0,1.0
2019-08-13,33.0,1.0
2019-08-14,32.0,1.0
2019-08-15,32.0,1.0
2019-08-16,32.0,1.0
2019-08-17,34.0,1.0
2019-08-18,36.0,1.0
2019-08-19,32.0,1.0
2019-08-20,32.0,1.0
2019-08-21,32.0,1.0
2019-08-22,32.0,1.0
2019-08-23,31.0,1.0
2019-08-24,36.0,1.0
2019-08-25,34.0,1.0
2019-08-26,32.0,1.0
2019-08-27,32.0,1.0
2019-08-28,31.0,1.0
2019-08-29,31.0,1.0
2019-08-30,31.0,1.0
2019-08-31,34.0,1.0
2019-09-01,34.0,1.0
2019-09-02,34.0,1.0
2019-09-03,32.0,1.0
2019-09-04,32.0,1.0
2019-09-05,31.0,1.0
2019-09-06,32.0,1.0
2019-09-07,35.0,1.0
2019-09-08,37.0,1.0
2019-09-09,35.0,1.0
2019-09-10,82.0,1.0
2019-09-11,100.0,1.0
2019-09-12,66.0,1.0
2019-09-13,63.0,1.0
2019-09-14,61.0,1.0
2019-09-15,54.0,1.0
2019-09-16,45.0,1.0
2019-09-17,43.0,1.0
2019-09-18,41.0,1.0
2019-09-19,42.0,1.0
2019-09-20,55.0,1.0
2019-09-21,70.0,1.0
2019-09-22,66.0,1.0
2019-09-23,53.0,1.0
2019-09-24,49.0,1.0
2019-09-25,48.0,1.0
2019-09-26,45.0,1.0
2019-09-27,44.0,1.0
2019-09-28,52.0,1.0
2019-09-29,52.0,1.0
2019-09-30,44.0,1.0
2019-10-01,42.0,1.0
2019-10-02,40.0,1.0
2019-10-03,40.0,1.0
2019-10-04,40.0,1.0
2019-10-05,45.0,1.0
2019-10-06,46.0,1.0
2019-10-07,40.0,1.0
2019-10-08,42.0,1.0
2019-10-09,42.0,1.0
2019-10-10,41.0,1.0
2019-10-11,40.0,1.0
2019-10-12,46.0,1.0
2019-10-13,44.0,1.0
2019-10-14,41.0,1.0
2019-10-15,40.0,1.0
2019-10-16,40.0,1.0
2019-10-17,38.0,1.0
2019-10-18,39.0,1.0
2019-10-19,44.0,1.0
2019-10-20,42.0,1.0
2019-10-21,38.0,1.0
2019-10-22,36.0,1.0
2019-10-23,36.0,1.0
2019-10-24,34.0,1.0
2019-10-25,36.0,1.0
2019-10-26,40.0,1.0
2019-10-27,41.0,1.0
2019-10-28,36.0,1.0
2019-10-29,36.0,1.0
2019-10-30,34.0,1.0
2019-10-31,33.0,1.0
2019-11-01,36.0,1.0
2019-11-02,42.0,1.0
2019-11-03,42.0,1.0
2019-11-04,36.0,1.0
2019-11-05,36.0,1.0
2019-11-06,35.0,1.0
2019-11-07,35.0,1.0
2019-11-08,35.0,1.0
2019-11-09,42.0,1.0
2019-11-10,41.0,1.0
2019-11-11,36.0,1.0
2019-11-12,34.0,1.0
2019-11-13,35.0,
2019-11-14,35.0,
